x,y,width,height,area
1833,2786,22,20,440
1889,2786,22,20,440
2002,2786,21,19,399
1152,2789,21,20,420
1208,2788,21,21,441
1265,2788,22,21,446
1321,2788,21,20,420
1036,2791,22,22,465
1094,2790,22,21,462
980,2792,22,21,462
866,2795,23,21,483
923,2794,22,21,447
750,2797,22,21,462
808,2796,22,21,430
519,2799,21,22,462
575,2798,22,22,474
634,2798,22,22,465
691,2798,22,20,440
460,2800,22,21,462
2316,2818,22,20,440
2059,2821,22,21,435
2114,2821,22,20,425
2168,2820,22,21,431
1890,2823,22,20,420
1947,2823,21,20,420
2002,2823,22,19,418
1266,2825,22,21,462
1321,2825,22,21,432
1379,2824,22,22,422
1435,2825,21,20,420
1492,2824,22,21,450
1550,2824,23,22,458
1606,2824,22,21,444
1660,2824,22,21,443
1718,2824,22,20,440
1774,2824,22,20,424
1834,2824,21,20,420
1095,2827,21,21,424
1152,2826,22,21,462
1208,2826,22,20,440
980,2829,22,22,466
1036,2828,22,22,452
923,2831,23,21,468
866,2832,23,22,470
691,2835,23,22,488
750,2835,23,21,447
808,2834,22,20,440
460,2837,22,22,467
519,2837,22,22,448
575,2837,22,21,462
634,2836,22,22,458
2317,2975,22,20,406
2168,2977,22,20,422
2114,2978,21,21,426
2003,2981,22,20,409
2060,2980,21,20,420
1835,2983,22,21,462
1891,2983,22,20,440
1948,2982,22,20,389
1323,2985,21,21,426
1381,2985,22,21,434
1437,2985,21,21,441
1494,2985,22,21,446
1552,2985,22,21,462
1608,2985,22,21,462
1662,2984,22,21,444
1720,2984,21,21,411
1776,2984,22,20,424
1155,2987,21,21,441
1210,2986,21,21,441
1268,2986,22,21,434
1097,2989,21,20,420
982,2991,22,21,444
1038,2990,22,20,423
869,2993,22,22,467
926,2992,22,21,462
810,2995,22,21,462
694,2997,22,21,443
752,2996,23,21,449
462,2999,22,22,463
577,2999,22,20,440
636,2998,22,21,451
521,3000,22,21,434
2315,3063,22,20,404
2169,3067,22,20,423
2115,3068,21,21,424
1948,3071,22,20,387
2004,3070,21,20,420
2060,3070,22,20,400
1777,3073,21,20,403
1836,3073,21,20,404
1891,3072,22,20,410
1609,3075,22,21,445
1663,3075,21,20,420
1721,3074,21,20,405
1269,3077,22,21,449
1325,3076,21,21,441
1383,3076,21,21,429
1438,3076,22,21,435
1495,3076,22,21,432
1554,3076,21,20,420
1098,3079,21,21,425
1156,3078,21,21,441
1211,3078,22,20,440
984,3081,21,22,444
1039,3081,23,20,460
927,3083,22,21,410
870,3084,22,22,452
695,3087,23,21,469
755,3087,22,20,424
812,3086,22,21,448
580,3089,22,20,413
638,3089,23,20,428
464,3091,22,20,408
523,3090,22,20,428
2314,3148,22,19,418
2169,3152,22,21,417
2060,3155,22,20,440
2115,3154,21,20,420
1949,3156,21,21,404
2004,3156,21,20,420
1778,3159,21,21,424
1837,3158,21,21,426
1892,3158,21,20,420
1554,3161,22,21,443
1610,3161,21,21,441
1664,3160,21,21,424
1722,3160,21,21,423
1383,3162,22,22,440
1439,3162,22,21,428
1496,3162,22,21,462
1157,3165,21,21,441
1212,3164,22,21,429
1270,3164,22,21,443
1326,3164,21,20,420
1041,3167,23,21,447
1099,3166,21,21,424
928,3169,22,22,431
985,3168,21,21,441
872,3171,22,21,462
697,3173,23,22,455
756,3173,22,21,445
813,3172,22,21,445
582,3175,21,20,420
640,3174,22,21,442
467,3176,21,21,405
525,3176,22,20,440
258,3288,17,17,277
2315,3324,21,20,420
2115,3331,22,20,422
2169,3330,22,20,424
2004,3333,22,20,440
2061,3332,22,21,378
1837,3335,22,21,445
1893,3335,21,20,420
1950,3334,21,20,404
1723,3337,21,20,420
1778,3336,22,21,448
1556,3339,22,20,429
1611,3339,22,19,402
1665,3338,21,20,404
1386,3341,21,20,408
1441,3341,22,19,418
1498,3340,22,19,418
1103,3343,20,21,420
1160,3343,21,20,420
1215,3343,22,20,425
1272,3342,22,20,381
1328,3342,21,19,399
988,3345,22,21,416
1044,3344,22,20,440
875,3347,23,20,412
932,3347,22,20,440
761,3349,22,21,415
817,3348,22,20,406
645,3351,22,20,409
701,3351,23,19,409
472,3353,22,20,425
530,3353,22,20,409
587,3352,22,20,409
2315,3408,21,20,407
2170,3414,21,20,406
2062,3417,21,20,408
2116,3416,21,20,407
1950,3419,21,20,384
2005,3418,21,20,404
1779,3421,21,20,402
1838,3420,21,20,403
1893,3420,22,20,440
1499,3423,22,20,429
1556,3423,22,19,407
1612,3422,21,20,402
1665,3422,22,19,392
1723,3422,22,19,387
1387,3425,21,20,387
1442,3425,21,19,384
1161,3427,21,20,420
1216,3427,22,20,407
1274,3427,21,19,384
1329,3426,21,19,399
990,3428,22,21,382
1046,3428,21,20,404
1103,3428,22,19,387
819,3431,22,20,407
877,3430,22,20,421
934,3430,21,19,399
704,3433,23,20,444
763,3433,22,19,403
589,3435,21,19,385
648,3434,21,19,399
475,3437,22,20,406
533,3436,22,20,440
