x,y,width,height,area,group_number,classification
1777,3073,21,20,403,26,0
1836,3073,21,20,404,26,0
1891,3072,22,20,410,26,0
1948,3071,22,20,387,26,1
2004,3070,21,20,420,26,0
2060,3070,22,20,400,26,1
2115,3068,21,21,424,26,0
2169,3067,22,20,423,26,0
2315,3063,22,20,404,26,0
467,3176,21,21,405,27,0
525,3176,22,20,440,27,0
582,3175,21,20,420,27,0
640,3174,22,21,442,27,0
697,3173,23,22,455,27,1
756,3173,22,21,445,27,0
813,3172,22,21,445,27,0
872,3171,22,21,462,27,0
928,3169,22,22,431,27,0
985,3168,21,21,441,27,0
1041,3167,23,21,447,27,0
1099,3166,21,21,424,27,0
1157,3165,21,21,441,27,0
1212,3164,22,21,429,27,1
1270,3164,22,21,443,27,0
1326,3164,21,20,420,27,0
1383,3162,22,22,440,27,1
1439,3162,22,21,428,27,0
1496,3162,22,21,462,27,0
1554,3161,22,21,443,27,0
1610,3161,21,21,441,27,0
1664,3160,21,21,424,27,0
1722,3160,21,21,423,27,0
1778,3159,21,21,424,27,0
1837,3158,21,21,426,27,0
1892,3158,21,20,420,27,1
1949,3156,21,21,404,27,0
2004,3156,21,20,420,27,0
2060,3155,22,20,440,27,0
2115,3154,21,20,420,27,0
2169,3152,22,21,417,27,1
2314,3148,22,19,418,27,0
472,3353,22,20,425,28,1
530,3353,22,20,409,28,0
587,3352,22,20,409,28,1
645,3351,22,20,409,28,0
701,3351,23,19,409,28,0
761,3349,22,21,415,28,1
817,3348,22,20,406,28,0
875,3347,23,20,412,28,1
932,3347,22,20,440,28,0
988,3345,22,21,416,28,0
1044,3344,22,20,440,28,0
1103,3343,20,21,420,28,1
1160,3343,21,20,420,28,0
1215,3343,22,20,425,28,0
1272,3342,22,20,381,28,1
1328,3342,21,19,399,28,0
1386,3341,21,20,408,28,1
1441,3341,22,19,418,28,0
1498,3340,22,19,418,28,0
1556,3339,22,20,429,28,1
1611,3339,22,19,402,28,0
1665,3338,21,20,404,28,0
1723,3337,21,20,420,28,1
1778,3336,22,21,448,28,0
1837,3335,22,21,445,28,1
1893,3335,21,20,420,28,0
1950,3334,21,20,404,28,0
2004,3333,22,20,440,28,0
2061,3332,22,21,378,28,1
2115,3331,22,20,422,28,0
2169,3330,22,20,424,28,0
2315,3324,21,20,420,28,0
